,Unnamed: 0,date,prcp,tmax,tmin,vp,srad,runoff
4825,4825,1993-03-22,0.0,14.227767545234682,-2.167875327503583,522.0953959154425,498.42386241490505,1.944
4826,4826,1993-03-23,5.069351682864565,10.041557965335006,0.0571228923954787,613.7835901110712,283.5125403081333,2.072
4827,4827,1993-03-24,4.656012070046578,6.777007848889287,-0.3887423792435507,595.1890003582945,218.618707452526,2.408
4828,4828,1993-03-25,5.6072913634226085,8.745163024005732,-1.1551165086998387,563.8679684700824,288.4829362235758,2.528
4829,4829,1993-03-26,5.327420307461483,7.190240393228233,0.6724220639443748,642.7821121461842,206.15527588677887,2.712
4830,4830,1993-03-27,0.80530996674579,6.948674310283053,0.7090899564168309,645.5511465424579,256.2329810103905,2.992
4831,4831,1993-03-28,0.0,7.412203847187388,-0.6724507554975815,584.0918129702616,341.51408545324256,3.024
4832,4832,1993-03-29,1.0791113596157291,6.847782212916518,-1.7284054074480473,539.1106234324615,344.8562567180222,2.968
4833,4833,1993-03-30,0.0032963094981243,6.498456254478682,-2.062905705560283,527.2194553923325,384.0420100322465,2.784
4834,4834,1993-03-31,0.0,12.514995185417414,-3.558072403484414,471.1340021497671,546.2121103547116,2.608
4835,4835,1993-04-01,12.069398569061269,10.640562018541742,-2.2483661560036725,518.8256897169473,376.12186492296667,2.592
4836,4836,1993-04-02,7.168047126925833,9.357148255553565,-2.1708242593380507,523.1217305625224,358.7897035112863,2.864
4837,4837,1993-04-03,8.457703052221426,7.614385524901469,-0.2843532801443255,602.4520333213902,281.1243729845933,2.88
4838,4838,1993-04-04,10.528154111429595,5.970501584333572,-1.9187065078041023,536.3833751343604,285.87985936940163,3.36
4839,4839,1993-04-05,2.209215307013616,3.860236446390183,-3.9866570281709066,460.9066642780365,343.49034844141886,3.432
4840,4840,1993-04-06,0.6641634015445853,6.983890742565388,-6.479634595575063,383.4888480831243,521.8058939448226,3.152
4841,4841,1993-04-07,3.18336806644124,7.34759186895378,-3.124116859996417,487.385704048728,369.2627642422071,2.888
4842,4842,1993-04-08,9.02270831467216,14.093313328556071,-2.8563203992744537,496.7012719455393,432.9702167681834,2.752
4843,4843,1993-04-09,7.332371349874597,4.952307290733608,-2.2006270853860626,521.2692583303475,269.31350770333216,3.144
4844,4844,1993-04-10,6.668818299892512,3.998767662800072,-3.849226237795593,465.0329630956646,309.0620521318524,3.032
4845,4845,1993-04-11,3.707162111474382,4.787739189582587,-2.6058653582385345,507.94715155858114,306.9773378717306,2.848
4846,4846,1993-04-12,0.0,3.965342003314224,-4.0500394683805085,457.0850053744178,434.2294876388392,2.656
4847,4847,1993-04-13,1.3775134850300073,9.419863792099608,-7.640128846067718,348.9429415979935,569.7900841992117,2.48
4848,4848,1993-04-14,1.4956897939246685,8.362386213498747,-3.5547116428923324,470.8665800788248,476.78645646721606,2.416
4849,4849,1993-04-15,2.725181106682193,4.05507378627732,-4.472694038874955,442.3213006091007,355.11051146542457,2.336
4850,4850,1993-04-16,0.3772948868853009,9.93690097635256,-0.9227230628303028,572.1436761017557,491.3513525618058,2.272
4851,4851,1993-04-17,7.156177221426012,10.01361869065747,0.6782228311984951,645.4761734145468,348.5447644213544,2.312
4852,4852,1993-04-18,11.959584098441418,3.324443033970799,-0.7215012400349338,584.9687835901111,171.20843783590112,2.704
4853,4853,1993-04-19,0.0,6.801702178878538,-3.849999860041204,470.1289860265138,515.6719365818703,2.632
4854,4854,1993-04-20,0.0,12.189241087423865,-6.131164485175565,389.8868237190971,624.0988892869939,2.472
4855,4855,1993-04-21,0.0,11.919215782873522,-1.377305558743506,552.6331064134719,558.9693210318882,2.464
4856,4856,1993-04-22,4.927148297541204,8.03376226039054,-1.3944750915330526,553.1688462916518,354.37217843067003,2.568
4857,4857,1993-04-23,0.0,7.888025965155858,-1.9585882916069508,533.7837692583304,485.1776692941598,2.64
